     k     pts       T1s       T1m       T2s  T2s-it       T2m  T2m-it    t(s)
------------------------------------------------------------------------------
     0    6702    0.0228    0.0224    0.0241      45    0.0290      87    16.3
     1    6791    0.0343    0.0369    0.0377      42    0.0402      79    15.3
     2    6927    0.0232    0.0351    0.0283      39    0.0502     100    16.8
     3    7058    0.0275    0.0330    0.0358      43    0.0439     107    21.5
     4    7321    0.0282    0.0341    0.0327      36    0.0482      82    18.7
     5    8127    0.0330    0.0405    0.0282      33    0.0484     102    21.9
     6    8151    0.0239    0.0380    0.0258      36    0.0556     150    32.7
     7    8136    0.0334    0.0426    0.0360      41    0.0640     142    32.4
     8    8257    0.0370    0.0600    0.0390      35    0.0479     143    33.4
     9    8327    0.0604    0.0644    0.0577      54    0.0618     108    30.0
    10    8382    0.0600    0.0889    0.0540      43    0.1060     138    33.7
    11    8323    0.0498    0.0778    0.0660      38    0.0816      84    16.3
    12    8309    0.0339    0.0659    0.0446      46    0.0945      88    16.9
    13    8262    0.0467    0.0566    0.0504      46    0.0664     102    20.0
    14    8220    0.0403    0.0484    0.0417      51    0.0542      59    14.0
    15    8099    0.0453    0.0483    0.0470      39    0.0530      74    12.4
    16    8046    0.0334    0.0367    0.0336      43    0.0466      85    14.0
    17    8186    0.0303    0.0324    0.0364      43    0.0333      96    16.3
    18    8073    0.0150    0.0159    0.0258      50    0.0213      61    12.6
    19    7845    0.0198    0.0206    0.0247      48    0.0252     121    22.2
    20    7665    0.0245    0.0249    0.0284      42    0.0254      87    17.8
    21    7770    0.0233    0.0287    0.0373      42    0.0348     112    20.9
    22    7834    0.0249    0.0249    0.0388      54    0.0332     150    22.8
    23    7848    0.0229    0.0256    0.0359      38    0.0295      58    10.5
    24    7900    0.0215    0.0237    0.0279      38    0.0283      62    10.8
    25    8020    0.0223    0.0235    0.0172      39    0.0272      70    12.0
    26    8159    0.0129    0.0132    0.0109      36    0.0195      56    11.0
    27    8218    0.0110    0.0122    0.0181      35    0.0158      63    11.9
    28    8425    0.0101    0.0118    0.0196      45    0.0165      77    14.2
    29    8489    0.0395    0.0383    0.0422      34    0.0435      60    11.4
    30    8647    0.0301    0.0306    0.0322      43    0.0312      73    14.7
    31    8563    0.0254    0.0245    0.0259      42    0.0282      86    16.9
    32    8465    0.0316    0.0318    0.0341      44    0.0372      71    14.6
    33    8570    0.0274    0.0276    0.0304      31    0.0292      69    13.9
    34    8566    0.0183    0.0182    0.0163      29    0.0250      92    13.3
    35    8441    0.0150    0.0207    0.0222      41    0.0265      72    12.0
    36    8045    0.0202    0.0207    0.0188      33    0.0272      57    10.6
    37    8256    0.0298    0.0242    0.0302      35    0.0340      54    11.0
    38    8333    0.0135    0.0131    0.0239      47    0.0121      47    11.0
    39    8302    0.0127    0.0137    0.0176      41    0.0181     113    19.2
    40    8385    0.0253    0.0275    0.0358      37    0.0337      65    11.2
    41    8671    0.0148    0.0173    0.0300      36    0.0520      61    13.6
    42    8478    0.0145    0.0249    0.0176      37    0.0246      57    12.0
    43    8236    0.0171    0.0167    0.0444      38    0.0476      66    11.9
    44    7875    0.0183    0.0182    0.0356      34    0.0240      65    11.7
    45    8153    0.0274    0.0350    0.0483      30    0.0514      64    10.6
    46    8058    0.0198    0.0317    0.0318      47    0.0437      61    12.1
    47    8325    0.0149    0.0278    0.0159      33    0.0363      65    10.3
    48    8599    0.0117    0.0220    0.0228      31    0.0296      57    10.8
    49    8630    0.0189    0.0217    0.0227      31    0.0255      71    12.5
------------------------------------------------------------------------------
  MEAN            0.0264    0.0319    0.0320      40    0.0396      83
